# wavelength,transmission
1089.3711911908201,0.0
1089.292026867556,0.0
1089.2128740491576,0.0
1089.1337327331175,0.0
1089.054602916928,0.0
1088.975484598083,0.0
1088.8963777740773,0.0
1088.8172824424055,0.0
1088.738198600564,0.0
1088.6591262460486,0.0
1088.5800653763572,0.0
1088.5010159889873,0.0
1088.421978081438,0.0
1088.3429516512092,0.0
1088.2639366958003,0.0
1088.1849332127126,0.0
1088.1059411994477,0.0
1088.026960653508,0.0
1087.9479915723966,0.0
1087.8690339536174,0.0
1087.7900877946745,0.0
1087.711153093074,0.0
1087.6322298463213,0.0
1087.5533180519233,0.0
1087.4744177073874,0.0
1087.3955288102213,0.0
1087.3166513579351,0.0
1087.2377853480373,0.0
1087.1589307780384,0.0
1087.0800876454502,0.0
1087.0012559477839,0.0
1086.9224356825518,0.0
1086.8436268472678,0.0
1086.7648294394453,0.0
1086.6860434565988,0.0
1086.6072688962442,0.0
1086.5285057558976,0.0
1086.4497540330756,0.0
1086.3710137252956,0.0
1086.2922848300761,0.0
1086.2135673449363,0.0
1086.1348612673953,0.0
1086.056166594974,0.0
1085.9774833251938,0.0
1085.898811455576,0.0
1085.8201509836429,0.0
1085.7415019069188,0.0
1085.662864222927,0.0
1085.5842379291926,0.0
1085.5056230232406,0.0
1085.4270195025974,0.0
1085.3484273647903,0.0
1085.2698466073462,0.0
1085.1912772277938,0.0
1085.1127192236622,0.0
1085.034172592481,0.0
1084.9556373317805,0.0
1084.8771134390925,0.0
1084.798600911948,0.0
1084.72009974788,0.0
1084.6416099444223,0.0
1084.563131499108,0.0
1084.4846644094728,0.0
1084.4062086730517,0.0
1084.3277642873807,0.0
1084.2493312499967,0.0
1084.1709095584379,0.0
1084.092499210242,0.0
1084.0141002029482,0.0
1083.935712534096,0.0
1083.8573362012266,0.0
1083.7789712018805,0.0
1083.7006175335996,0.0
1083.6222751939265,0.0
1083.5439441804049,0.0
1083.4656244905782,0.0
1083.3873161219917,0.0
1083.3090190721905,0.0
1083.2307333387207,0.0
1083.1524589191295,0.0
1083.0741958109636,0.0
1082.9959440117723,0.0
1082.9177035191037,0.0
1082.8394743305082,0.0
1082.7612564435356,0.0
1082.6830498557374,0.0
1082.604854564665,0.0
1082.5266705678714,0.0
1082.4484978629093,0.0
1082.370336447333,0.0
1082.2921863186973,0.0
1082.2140474745565,0.0
1082.1359199124681,0.0
1082.0578036299878,0.0
1081.9796986246733,0.0
1081.901604894083,0.0
1081.8235224357752,0.0
1081.74545124731,0.0
1081.6673913262478,0.0
1081.5893426701489,0.0
1081.5113052765755,0.0
1081.43327914309,0.0
1081.3552642672548,0.0
1081.2772606466347,0.0
1081.1992682787934,0.0
1081.1212871612966,0.0
1081.0433172917099,0.0
1080.9653586675997,0.0
1080.887411286534,0.0
1080.80947514608,0.0
1080.731550243807,0.0
1080.653636577284,0.0
1080.5757341440815,0.0
1080.49784294177,0.0
1080.4199629679208,0.0
1080.3420942201067,0.0
1080.2642366959,0.0
1080.1863903928752,0.0
1080.1085553086052,0.0
1080.0307314406664,0.0
1079.9529187866337,0.0
1079.8751173440835,0.0
1079.7973271105934,0.0
1079.7195480837408,0.0
1079.6417802611043,0.0
1079.564023640263,0.0
1079.4862782187968,0.0
1079.4085439942864,0.0
1079.3308209643133,0.0
1079.2531091264589,0.0
1079.1754084783063,0.0
1079.0977190174387,0.0
1079.0200407414404,0.0
1078.942373647896,0.0
1078.864717734391,0.0
1078.7870729985111,0.0
1078.709439437844,0.0
1078.6318170499762,0.0
1078.5542058324972,0.0
1078.476605782995,0.0
1078.3990168990595,0.0
1078.321439178281,0.0
1078.2438726182504,0.0
1078.1663172165597,0.0
1078.0887729708013,0.0
1078.0112398785677,0.0
1077.9337179374534,0.0
1077.8562071450524,0.0
1077.77870749896,0.0
1077.7012189967722,0.0
1077.6237416360857,0.0
1077.5462754144971,0.0
