323.73	-4
324	-5
324.26	-1
324.52	6
324.79	22
325.05	3
325.32	2
325.58	17
325.85	19
326.11	28
326.38	7
326.64	-1
326.91	-3
327.17	2
327.44	-9
327.7	-26
327.96	27
328.23	-6
328.49	-2
328.76	14
329.02	-16
329.29	12
329.55	-3
329.82	-10
330.08	25
330.35	-4
330.61	-10
330.87	-18
331.14	14
331.4	-4
331.67	2
331.93	-11
332.2	-26
332.46	2
332.73	16
332.99	17
333.25	-25
333.52	-3
333.78	22
334.05	12
334.31	-2
334.58	-6
334.84	3
335.11	11
335.37	-16
335.63	8
335.9	27
336.16	4
336.43	-9
336.69	5
336.96	2
337.22	17
337.48	28
337.75	-13
338.01	0
338.28	17
338.54	-18
338.81	-6
339.07	1
339.33	-3
339.6	-5
339.86	4
340.13	2
340.39	14
340.66	-8
340.92	5
341.18	20
341.45	17
341.71	8
341.98	12
342.24	6
342.51	1
342.77	26
343.03	11
343.3	-15
343.56	17
343.83	-6
344.09	26
344.35	-4
344.62	36
344.88	35
345.15	19
345.41	1
345.67	-4
345.94	-7
346.2	30
346.47	4
346.73	-13
346.99	41
347.26	16
347.52	25
347.79	31
348.05	18
348.31	28
348.58	23
348.84	6
349.11	11
349.37	20
349.63	16
349.9	18
350.16	19
350.43	36
350.69	-1
350.95	9
351.22	11
351.48	15
351.75	31
352.01	4
352.27	21
352.54	14
352.8	41
353.06	-8
353.33	19
353.59	9
353.86	17
354.12	4
354.38	12
354.65	2
354.91	44
355.18	-2
355.44	-9
355.7	1
355.97	43
356.23	35
356.49	10
356.76	26
357.02	7
357.29	21
357.55	21
357.81	13
358.08	2
358.34	34
358.6	12
358.87	21
359.13	1
359.39	18
359.66	27
359.92	18
360.19	12
360.45	1
360.71	10
360.98	5
361.24	-4
361.5	17
361.77	16
362.03	35
362.29	18
362.56	22
362.82	7
363.09	23
363.35	10
363.61	8
363.88	3
364.14	9
364.4	8
364.67	30
364.93	-16
365.19	12
365.46	19
365.72	-6
365.98	11
366.25	-2
366.51	21
366.77	13
367.04	9
367.3	14
367.56	35
367.83	11
368.09	19
368.35	26
368.62	30
368.88	22
369.14	15
369.41	17
369.67	-7
369.93	6
370.2	-3
370.46	11
370.72	-3
370.99	15
371.25	10
371.51	10
371.78	54
372.04	-4
372.3	5
372.57	-27
372.83	0
373.09	10
373.36	23
373.62	3
373.88	-31
374.15	42
374.41	28
374.67	1
374.94	-9
375.2	24
375.46	-7
375.73	-4
375.99	12
376.25	27
376.52	26
376.78	-10
377.04	15
